province,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Sakon Nakhon,41.55719321,42.55046459,43.54373598,45.08170458,46.65171419,50.27234861,53.86094201,56.74463313,62.54405639,63.12079462,67.76674143,71.83595002,73.53412368,75.42454342,79.30150593,78.05190644,79.04517783
Songkhla,52.03460429,52.93175264,53.82890099,56.68055111,59.56424223,62.67222044,65.78019865,67.31816725,72.38064723,74.75168215,77.66741429,83.30663249,86.44665171,89.55462993,93.62383851,93.14322333,91.60525473
Satun,47.83723166,48.54213393,49.21499519,50.91316886,52.61134252,56.13585389,59.66036527,62.28772829,68.08715155,68.34347965,71.35533483,75.20025633,78.11598847,79.97436719,82.89009933,82.3133611,82.53764819
Samut Prakan,61.00608779,60.36526754,59.75648831,62.64017943,65.52387055,70.04165332,74.52739507,77.63537328,80.83947453,79.62191605,82.37744313,85.3892983,89.39442486,92.63056713,95.1297661,94.873438,95.96283243
Samut Songkhram,55.04645947,55.84748478,56.64851009,58.69913489,60.74975969,62.64017943,64.53059917,67.60653637,72.34860622,72.12431913,77.34700417,80.61518744,82.69785325,84.46010894,87.88849728,85.42133931,87.05543095
Samut Sakhon,57.73790452,59.33995514,60.94200577,62.80038449,64.6267222,68.11919257,71.57962192,73.72636975,79.04517783,78.69272669,81.41621275,85.3892983,90.99647549,92.37423903,92.72669016,92.95097725,91.76545979
Sa Kaeo,54.82217238,56.00768984,57.19320731,59.30791413,61.42262095,64.14610702,66.86959308,68.05511054,73.98269785,74.30310798,77.47516822,78.27619353,81.70458186,83.97949375,85.99807754,85.00480615,85.22909324
Saraburi,56.07177187,57.32137136,58.53892983,59.30791413,60.07689843,64.17814803,68.27939763,70.13777635,74.75168215,73.88657482,77.92374239,78.94905479,83.37071451,84.17173983,85.32521628,85.16501121,84.58827299
Sing Buri,54.53380327,56.10381288,57.67382249,59.85261134,61.99935918,63.82569689,65.61999359,66.58122397,74.20698494,72.79718039,77.47516822,79.493752,83.0823454,83.53091958,86.38256969,83.91541173,84.94072413
Sukhothai,43.54373598,44.69721243,45.85068888,47.38865748,48.92662608,51.26561999,53.60461391,55.78340276,61.48670298,60.58955463,63.66549183,68.05511054,68.56776674,71.45145787,74.01473887,73.14963153,73.79045178
