Position,Track Name,Artist,Streams,ADMIN
2,Me Rehúso,Danny Ocean,83157,Peru
3,Escápate Conmigo,Wisin,64152,Peru
4,Ahora Dice,Chris Jeday,53466,Peru
5,Hey DJ,CNCO,49462,Peru
6,Shape of You,Ed Sheeran,48144,Peru
7,Mi Gente,J Balvin,41137,Peru
8,"Sola (Remix) [feat. Daddy Yankee, Wisin, Farruko, Zion & Lennox]",Anuel Aa,40567,Peru
9,Sigo Extrañándote,J Balvin,38778,Peru
10,Báilame,Nacho,38036,Peru
1,Despacito - Remix,Luis Fonsi,33586,Belgium
2,2U (feat. Justin Bieber),David Guetta,29918,Belgium
3,Shape of You,Ed Sheeran,27925,Belgium
4,I'm the One,DJ Khaled,27229,Belgium
5,Wild Thoughts,DJ Khaled,27085,Belgium
6,Mama,Jonas Blue,25454,Belgium
7,Krantenwijk,Lil' Kleine,24516,Belgium
8,Alleen,Lil' Kleine,24142,Belgium
9,There for You,Martin Garrix,22521,Belgium
10,Something Just Like This,The Chainsmokers,21447,Belgium
1,Despacito - Remix,Luis Fonsi,56145,Malaysia
2,Attention,Charlie Puth,32324,Malaysia
3,2U (feat. Justin Bieber),David Guetta,31626,Malaysia
4,I'm the One,DJ Khaled,29107,Malaysia
5,There for You,Martin Garrix,26578,Malaysia
6,Something Just Like This,The Chainsmokers,23195,Malaysia
7,Feels,Calvin Harris,23057,Malaysia
8,Strip That Down,Liam Payne,22044,Malaysia
9,Shape of You,Ed Sheeran,22010,Malaysia
10,Symphony (feat. Zara Larsson),Clean Bandit,21943,Malaysia
1,Despacito - Remix,Luis Fonsi,123046,Denmark
2,Rica,Gilli,109869,Denmark
3,Wild Thoughts,DJ Khaled,98691,Denmark
4,2U (feat. Justin Bieber),David Guetta,84925,Denmark
5,I'm the One,DJ Khaled,76306,Denmark
6,Unforgettable,French Montana,71856,Denmark
7,Mama,Jonas Blue,64790,Denmark
8,Habibi Aiwa,Gilli,64623,Denmark
9,Mamacita,KESI,62743,Denmark
10,Summer Air,ItaloBrothers,60528,Denmark
1,Felices los 4,Maluma,9765,Bolivia
2,Me Rehúso,Danny Ocean,8426,Bolivia
3,Una Lady Como Tú,Manuel Turizo,7970,Bolivia
4,Escápate Conmigo,Wisin,7014,Bolivia
5,Hey DJ,CNCO,6869,Bolivia
6,Shape of You,Ed Sheeran,5652,Bolivia
7,Báilame,Nacho,5395,Bolivia
8,Ahora Dice,Chris Jeday,5098,Bolivia
9,Besándote,Piso 21,5012,Bolivia
10,Sigo Extrañándote,J Balvin,4761,Bolivia
1,2U (feat. Justin Bieber),David Guetta,39962,Poland
2,Despacito - Remix,Luis Fonsi,39764,Poland
3,Thunder,Imagine Dragons,36456,Poland
4,Shape of You,Ed Sheeran,36389,Poland
5,Believer,Imagine Dragons,35652,Poland
6,Attention,Charlie Puth,32862,Poland
7,There's Nothing Holdin' Me Back,Shawn Mendes,31414,Poland
8,I'm the One,DJ Khaled,29951,Poland
9,There for You,Martin Garrix,29385,Poland
10,Despacito (Featuring Daddy Yankee),Luis Fonsi,29245,Poland
1,Thunder,Imagine Dragons,26000,Austria
2,OK,Robin Schulz,25229,Austria
3,Despacito - Remix,Luis Fonsi,22728,Austria
4,2U (feat. Justin Bieber),David Guetta,20422,Austria
5,There's Nothing Holdin' Me Back,Shawn Mendes,19318,Austria
6,Mama,Jonas Blue,18934,Austria
7,More Than You Know,Axwell /\ Ingrosso,18446,Austria
8,I'm the One,DJ Khaled,17425,Austria
9,Wild Thoughts,DJ Khaled,16767,Austria
10,Little Hollywood,Alle Farben,16723,Austria
1,Wild Thoughts,DJ Khaled,21539,Portugal
2,2U (feat. Justin Bieber),David Guetta,20553,Portugal
3,I'm the One,DJ Khaled,20125,Portugal
4,Unforgettable,French Montana,19317,Portugal
5,Attention,Charlie Puth,18801,Portugal
6,Despacito (Featuring Daddy Yankee),Luis Fonsi,17287,Portugal
7,Despacito - Remix,Luis Fonsi,17167,Portugal
8,Shape of You,Ed Sheeran,16906,Portugal
9,Swalla (feat. Nicki Minaj & Ty Dolla $ign),Jason Derulo,15818,Portugal
10,There's Nothing Holdin' Me Back,Shawn Mendes,15587,Portugal
1,Jag trodde änglarna fanns,Kamferdrops,376761,Sweden
2,Despacito - Remix,Luis Fonsi,374291,Sweden
3,More Than You Know,Axwell /\ Ingrosso,279259,Sweden
4,Wild Thoughts,DJ Khaled,244377,Sweden
5,2U (feat. Justin Bieber),David Guetta,241002,Sweden
6,I'm the One,DJ Khaled,199400,Sweden
7,Mama,Jonas Blue,194437,Sweden
8,Tuesday,Burak Yeter,190918,Sweden
9,Tårarna i halsen,Tjuvjakt,188673,Sweden
10,Thunder,Imagine Dragons,171283,Sweden
1,Felices los 4,Maluma,540140,Mexico
