name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
Classic SF Victorian in Noe/Mission,Mission,37.74984557,-122.4239428,Entire home/apt,1500,1,0,,,1,0
Stay in the heart of The Mission,Mission,37.7614406,-122.4213018,Entire home/apt,139,1,2,2/12/17,0.52,1,106
Cozy private bedroom in the Mission District,Mission,37.75327879,-122.4118102,Private room,69,1,2,9/25/16,0.31,1,0
Cozy room in the Mission,Mission,37.75017197,-122.41734,Private room,65,1,4,2/13/16,0.24,2,0
Private Room in Valencia Corridor (Mission),Mission,37.74936883,-122.4223664,Private room,110,1,2,9/2/16,0.2,1,0
Cozy place near by Mission dolores ,Mission,37.7660067,-122.4183305,Entire home/apt,148,5,0,,,1,183
Exquisite top-floor flat in Mission,Mission,37.74866918,-122.4213935,Entire home/apt,165,4,3,11/20/15,0.09,1,0
Mission/Castro Home Sweet SF Home!,Mission,37.76864954,-122.42457,Entire home/apt,189,2,5,3/31/13,0.08,1,261
Bedroom in the Heart of the Mission,Mission,37.76601194,-122.4229685,Private room,150,2,6,3/26/15,0.22,2,183
Sunny and Spacious Two Bdrm in 1895 Victorian Home,Mission,37.75845746,-122.4086654,Entire home/apt,250,2,38,3/23/17,2.64,3,12
Charming Victorian in the heart of the Mission,Mission,37.757922,-122.4141182,Entire home/apt,250,3,23,3/10/17,2.65,1,0
Private Bed & Bath in heart of SF,Mission,37.75877365,-122.4108145,Private room,120,2,1,9/18/15,0.05,1,0
Private Room in San Francisco's Mission District,Mission,37.74979106,-122.4087655,Private room,99,2,5,5/24/15,0.14,1,347
Nice Apartment right in Mission,Mission,37.76573017,-122.4209976,Private room,158,7,1,8/16/15,0.05,1,0
"Modern, Spacious, Prime Location ‰÷Ä",Mission,37.76058002,-122.4254066,Private room,100,2,35,1/25/17,1.01,3,64
Private bath/Queen bdrm/Super Location,Mission,37.7673056,-122.4254201,Private room,125,1,177,3/19/17,3.03,2,33
Private Room - in Mission House,Mission,37.75884751,-122.4059452,Private room,80,6,0,,,3,0
private room 12x10 ft heart of valencia st sf,Mission,37.76845419,-122.4216172,Private room,69,1,13,10/8/16,1.34,4,86
Lovely private bedroom in SF,Mission,37.75696962,-122.4076487,Private room,85,2,10,3/26/17,0.56,1,12
Mission District Garden Cottage,Mission,37.74847017,-122.417238,Entire home/apt,200,2,31,1/1/17,0.72,2,235
Sunny Room in Beautiful Victorian,Mission,37.75597989,-122.4152521,Private room,115,3,23,9/19/16,1.06,1,54
Urban Edwardian in the Heart of SF,Mission,37.77037944,-122.4222524,Private room,95,3,6,11/16/16,0.43,1,0
Designer's Nest in the Mission,Mission,37.76725835,-122.4223948,Entire home/apt,194,30,27,2/6/17,2.45,1,60
"BRAND NEW, bright and charming, Mission 1BD",Mission,37.76006538,-122.4186564,Entire home/apt,215,2,0,,,1,103
Tropical Oasis Home with Garden & Parking,Mission,37.75454377,-122.4111001,Entire home/apt,155,28,21,1/3/17,0.51,1,167
Mission Victorian for Super Bowl,Mission,37.75469124,-122.4226532,Entire home/apt,800,1,0,,,1,0
Private Room in the Mission District!,Mission,37.75239589,-122.4129407,Private room,45,2,4,2/12/17,0.11,1,0
"Modern, bright, sexy Mission flat",Mission,37.7674576,-122.4232362,Private room,120,3,114,3/11/17,1.98,1,340
Contemporary Mission Victorian,Mission,37.75796429,-122.4197255,Entire home/apt,150,2,3,5/9/16,0.27,1,0
Valencia Corridor Center Of It All!,Mission,37.75495392,-122.4168309,Private room,110,1,383,3/28/17,7.17,2,331
Beautiful Mission Apt. w/ Roofdeck,Mission,37.76400671,-122.4175282,Entire home/apt,400,2,0,,,1,0
"Stunning Room in Mission Oasis, Walkers' Paradise",Mission,37.74991628,-122.4082173,Private room,135,3,79,3/31/17,2.85,2,13
Mission bedroom close to BART,Mission,37.75243517,-122.4152028,Private room,100,1,13,4/24/16,0.43,1,0
[10min Moscone] Cozy Room with sunny deck,Mission,37.75219564,-122.4170061,Private room,100,3,3,10/11/16,0.31,2,0
Cozy Cottage With Fire Pit In The Mission,Mission,37.75465229,-122.4101758,Entire home/apt,200,4,0,,,2,2
Charming Victorian in the Mission,Mission,37.75767012,-122.4174079,Private room,70,2,6,3/26/17,2.34,3,9
Sunny Sweet Mission Dolores Apartment,Mission,37.75742313,-122.4236494,Entire home/apt,145,4,9,2/27/17,0.31,1,327
Marie's sunny spacious Mission loft,Mission,37.76374505,-122.4124976,Entire home/apt,180,3,4,9/4/14,0.08,1,92
Two queen beds apartment,Mission,37.75750508,-122.4235015,Entire home/apt,200,1,0,,,1,0
2 BR Eclectic Mission Loft,Mission,37.76173049,-122.4256579,Entire home/apt,1750,3,0,,,1,364
North Bernal /Mission Room for all,Mission,37.75522798,-122.4179171,Private room,450,2,0,,,1,90
SF gorgeous top flat mission area,Mission,37.75886312,-122.423116,Entire home/apt,300,5,7,7/30/16,0.25,1,0
Beautiful luxury house w/ Deck,Mission,37.75631937,-122.404779,Entire home/apt,150,2,24,3/11/17,0.36,2,289
Spacious studio available,Mission,37.74852106,-122.4212581,Entire home/apt,126,3,22,1/29/17,0.63,1,333
Lovely 2 bdrm in the Misson,Mission,37.75574133,-122.4115589,Entire home/apt,100,1,1,11/19/15,0.06,1,0
Single bedroom in Dolores Park flat,Mission,37.76012321,-122.4250197,Private room,99,3,10,9/14/16,0.5,2,11
CLOUD 9: Bright-Modern-Super Clean :),Mission,37.75300435,-122.403943,Private room,85,5,94,3/31/17,4.29,2,62
Pre-war Studio Apartment,Mission,37.75298744,-122.4242477,Entire home/apt,150,3,9,9/17/16,0.46,1,0
2-Level Modern Apt Comfort in SOMA,Mission,37.77002888,-122.4237134,Entire home/apt,255,2,32,3/26/17,1.28,1,252
"24th Mission District, quiet, new remodel",Mission,37.75112586,-122.4230647,Entire home/apt,150,2,41,3/24/17,4.33,2,121
Private bedroom in the Mission,Mission,37.75498191,-122.4193609,Private room,65,1,3,11/23/15,0.18,1,0
Mission gem,Mission,37.75992683,-122.408211,Entire home/apt,300,3,0,,,1,0
Modern 4 Bed House in Sunny Mission,Mission,37.74905921,-122.4182666,Entire home/apt,700,5,3,1/22/17,0.29,1,0
Cozy Victorian with fun roommates,Mission,37.7690889,-122.4239827,Shared room,34,15,0,,,2,0
Chic Mission Victorian 2 BR Flat,Mission,37.75695181,-122.4116516,Entire home/apt,240,4,45,3/13/17,2.17,2,152
Modern Private Lair: Trendy Mission,Mission,37.75300727,-122.4040496,Entire home/apt,175,3,180,3/6/17,6.42,2,77
Modern 3 br smart home in the heart of the Mission,Mission,37.75646678,-122.4164391,Entire home/apt,275,4,12,3/19/17,2.14,1,31
Designer Mission 3 BDRM Victorian,Mission,37.75349384,-122.4195855,Entire home/apt,600,2,68,3/29/17,3.9,1,62
Bunk near Dolores Park Mission Noe BART and more!,Mission,37.75317766,-122.4244942,Shared room,42,30,16,1/15/17,3.2,9,59
Modern Mission Apt in the BEST Area,Mission,37.76052871,-122.4090437,Entire home/apt,225,3,0,,,1,0
Spacious room in Dolores Park flat,Mission,37.76108383,-122.425571,Private room,149,3,6,5/16/16,0.3,2,11
Mission Oasis Private Room,Mission,37.76848691,-122.4206638,Private room,125,2,27,3/27/17,0.88,2,331
~Spacious Single Room close to BART in Mission~,Mission,37.74981207,-122.4150952,Private room,50,4,1,3/26/17,1,1,9
21st Street,Mission,37.75769932,-122.4200553,Entire home/apt,115,7,0,,,2,134
Luxury 1br loft   - 1400ftå_ ,Mission,37.75781911,-122.4108124,Entire home/apt,165,20,17,2/17/17,0.52,1,33
Off-site Meeting Space- Great Views of Sutro Tower,Mission,37.75603488,-122.4112037,Entire home/apt,500,1,1,1/12/17,0.37,2,351
Sunny Mission District Apartment,Mission,37.76673598,-122.4240911,Entire home/apt,120,7,2,9/24/16,0.1,1,291
New: Modern with patio &projector,Mission,37.74947188,-122.4185612,Entire home/apt,300,3,0,,,1,0
Awesome n cute  Bernal/ Mission rm  1 or 2 people,Mission,37.74923178,-122.4190466,Private room,80,1,97,3/16/17,2.9,2,288
1 bdr home in Mission District! :),Mission,37.76117256,-122.4190939,Private room,108,1,0,,,2,0
Mission Retreat: Architect Re-done Victorian Home,Mission,37.7572341,-122.4150385,Entire home/apt,650,2,20,3/19/17,3.39,1,119
Bright and Comfortable Mission Private Room,Mission,37.76873486,-122.4245731,Private room,100,1,3,3/31/17,3,3,37
Kid-Friendly Amazing Location ,Mission,37.76952227,-122.4228934,Entire home/apt,250,2,10,8/8/16,0.32,1,0
Beautiful Modern Home in SF Mission,Mission,37.75123663,-122.4104629,Entire home/apt,550,3,9,3/15/17,0.5,1,53
Sunny Master suite with Garden View,Mission,37.75862868,-122.4117893,Private room,126,3,60,3/16/17,1.33,1,87
WOW STREET-ART INSPIRED 2BED APT W/ GARAGE PARKING,Mission,37.76485673,-122.4251007,Entire home/apt,341,2,51,3/22/17,2.05,2,88
In the heart of the Mission,Mission,37.74961855,-122.4209382,Shared room,75,5,3,6/13/15,0.13,1,0
"Modern, Sunny Apt in the Mission",Mission,37.76867917,-122.4225395,Entire home/apt,275,1,21,3/15/17,1.44,1,286
Sunny bedroom with private bathroom,Mission,37.76740115,-122.4224661,Private room,95,2,7,10/23/16,0.57,2,57
Mission Apartment with Views,Mission,37.75186531,-122.4194602,Entire home/apt,140,3,2,11/15/16,0.34,1,0
Secret Mission Garden,Mission,37.76097556,-122.4215808,Private room,199,1,7,7/5/15,0.3,2,31
Sunny Oasis in the Mission!,Mission,37.7615163,-122.4082127,Private room,120,1,2,10/12/15,0.11,1,0
One bedroom on Valencia St.,Mission,37.76215982,-122.420623,Private room,200,1,0,,,1,0
Spacious Mission Victorian with 3br/ 2ba,Mission,37.75040546,-122.4110787,Entire home/apt,250,2,1,3/1/17,0.91,2,5
Bunk bed in the Treat Street Clubhouse,Mission,37.75783386,-122.4130874,Shared room,33,30,108,3/13/17,4.15,8,25
Downtown VIEWS / 20th Valencia,Mission,37.75908236,-122.418195,Entire home/apt,120,30,18,8/12/16,0.55,2,19
