Position,Track,Artist,Streams,ADMIN
10,Silence,Marshmello,6576,Hungary
1,rockstar,Post Malone,249798,Canada
2,Havana,Camila Cabello,160714,Canada
3,Gucci Gang,Lil Pump,146565,Canada
4,Perfect Duet (Ed Sheeran & Beyoncé),Ed Sheeran,141658,Canada
5,Wolves,Selena Gomez,131337,Canada
6,Ric Flair Drip (& Metro Boomin),Offset,116061,Canada
7,Perfect,Ed Sheeran,114876,Canada
8,Silence,Marshmello,111747,Canada
9,Let You Down,NF,110770,Canada
10,What Lovers Do (feat. SZA),Maroon 5,108538,Canada
1,Criminal,Natti Natasha,87103,Peru
2,Échame La Culpa,Luis Fonsi,77680,Peru
3,Sensualidad,Bad Bunny,73710,Peru
4,Corazón,Maluma,65502,Peru
5,Se Preparó,Ozuna,60987,Peru
6,Déjala Que Vuelva (feat. Manuel Turizo),Piso 21,59602,Peru
7,Mayores,Becky G,58803,Peru
8,Báilame - Remix,Nacho,58272,Peru
9,Robarte un Beso,Carlos Vives,57397,Peru
10,Me Rehúso,Danny Ocean,54992,Peru
1,rockstar,Post Malone,30614,Belgium
2,Wolves,Selena Gomez,25463,Belgium
3,Perfect,Ed Sheeran,25315,Belgium
4,Havana,Camila Cabello,25100,Belgium
5,Perfect Duet (Ed Sheeran & Beyoncé),Ed Sheeran,23600,Belgium
6,Silence,Marshmello,23282,Belgium
7,New Rules,Dua Lipa,22860,Belgium
8,113,Booba,22767,Belgium
9,Let You Down,NF,22347,Belgium
10,Gucci Gang,Lil Pump,22031,Belgium
1,Perfect,Ed Sheeran,44925,Malaysia
2,Havana,Camila Cabello,43544,Malaysia
3,Wolves,Selena Gomez,40958,Malaysia
4,Too Good At Goodbyes,Sam Smith,36072,Malaysia
5,Dusk Till Dawn - Radio Edit,ZAYN,35369,Malaysia
6,What Lovers Do (feat. SZA),Maroon 5,32125,Malaysia
7,Perfect Duet (Ed Sheeran & Beyoncé),Ed Sheeran,31818,Malaysia
8,New Rules,Dua Lipa,30189,Malaysia
9,How Long,Charlie Puth,28477,Malaysia
10,Young Dumb & Broke,Khalid,24264,Malaysia
1,Stilen Lagt,Molo,125548,Denmark
2,Last Christmas,Wham!,123838,Denmark
3,All I Want for Christmas Is You,Mariah Carey,121292,Denmark
4,Mistletoe,Justin Bieber,90292,Denmark
5,Merry Christmas Everyone - Remastered,Shakin' Stevens,89732,Denmark
6,Santa Tell Me,Ariana Grande,86557,Denmark
7,rockstar,Post Malone,84077,Denmark
8,Jesus & Josefine,Julie,82791,Denmark
9,Driving Home For Christmas,Chris Rea,74471,Denmark
10,Lille store verden - Bonus Track,Rasmus Seebach,74405,Denmark
1,Déjala Que Vuelva (feat. Manuel Turizo),Piso 21,12300,Bolivia
2,Échame La Culpa,Luis Fonsi,10900,Bolivia
3,Corazón,Maluma,10583,Bolivia
4,Criminal,Natti Natasha,10008,Bolivia
5,Sensualidad,Bad Bunny,9603,Bolivia
6,Suena El Dembow,Joey Montana,8125,Bolivia
7,Mayores,Becky G,7850,Bolivia
8,Que Va,Alex Sensation,7828,Bolivia
9,Se Preparó,Ozuna,7450,Bolivia
10,Me Rehúso,Danny Ocean,7082,Bolivia
1,rockstar,Post Malone,48264,Poland
2,Havana,Camila Cabello,39577,Poland
3,All I Want for Christmas Is You,Mariah Carey,37637,Poland
4,Perfect Duet (Ed Sheeran & Beyoncé),Ed Sheeran,36835,Poland
5,Wolves,Selena Gomez,36517,Poland
6,Perfect,Ed Sheeran,35584,Poland
7,More Than You Know,Axwell /\ Ingrosso,32450,Poland
8,Gucci Gang,Lil Pump,31868,Poland
9,Dusk Till Dawn - Radio Edit,ZAYN,31696,Poland
10,New Rules,Dua Lipa,31054,Poland
1,Was Du Liebe nennst,Bausa,30697,Austria
2,Ave Maria,Kollegah,24190,Austria
3,rockstar,Post Malone,23994,Austria
4,Rap wieder Rap,Kollegah,21556,Austria
5,Havana,Camila Cabello,20077,Austria
6,Es wird Zeit,Kollegah,19209,Austria
7,Studiogangster,Kollegah,18248,Austria
8,All I Want for Christmas Is You,Mariah Carey,18136,Austria
9,Let You Down,NF,17547,Austria
10,Wenn der Gegner am Boden liegt,Kollegah,17475,Austria
1,rockstar,Post Malone,30365,Portugal
2,Havana,Camila Cabello,20531,Portugal
3,Perfect Duet (Ed Sheeran & Beyoncé),Ed Sheeran,19649,Portugal
4,Salto Alto,Piruka,18633,Portugal
5,Échame La Culpa,Luis Fonsi,18371,Portugal
6,New Rules,Dua Lipa,17799,Portugal
7,Dusk Till Dawn - Radio Edit,ZAYN,17608,Portugal
8,Wolves,Selena Gomez,17196,Portugal
9,Gucci Gang,Lil Pump,17049,Portugal
10,Não Faz Isso,Piruka,15557,Portugal
1,Perfect Duet (Ed Sheeran & Beyoncé),Ed Sheeran,219079,Sweden
2,rockstar,Post Malone,206458,Sweden
3,All I Want for Christmas Is You,Mariah Carey,183604,Sweden
4,Pari,Hov1,176365,Sweden
5,Dusk Till Dawn - Radio Edit,ZAYN,169631,Sweden
6,Let You Down,NF,168912,Sweden
7,Last Christmas,Wham!,165847,Sweden
8,Wolves,Selena Gomez,154814,Sweden
9,Perfect,Ed Sheeran,153983,Sweden
10,Stargazing,Kygo,137938,Sweden
1,Criminal,Natti Natasha,424478,Mexico
2,Se Preparó,Ozuna,371103,Mexico
3,Sensualidad,Bad Bunny,344344,Mexico
4,Mayores,Becky G,331387,Mexico
5,Corazón,Maluma,313638,Mexico
6,Me Rehúso,Danny Ocean,311979,Mexico
7,Échame La Culpa,Luis Fonsi,307486,Mexico
8,Perro Fiel,Shakira,303500,Mexico
9,Bonita,J Balvin,297906,Mexico
10,Déjala Que Vuelva (feat. Manuel Turizo),Piso 21,289983,Mexico
1,Sensualidad,Bad Bunny,12979,Panama
2,Criminal,Natti Natasha,9692,Panama
3,Échame La Culpa,Luis Fonsi,9583,Panama
4,Se Preparó,Ozuna,8575,Panama
5,Mayores,Becky G,7627,Panama
6,Suena El Dembow,Joey Montana,7342,Panama
7,Vuelve,Daddy Yankee,7233,Panama
8,Que Va,Alex Sensation,6973,Panama
9,Déjala Que Vuelva (feat. Manuel Turizo),Piso 21,6778,Panama
10,Báilame - Remix,Nacho,6588,Panama
1,Échame La Culpa,Luis Fonsi,16970,Uruguay
2,Sensualidad,Bad Bunny,16753,Uruguay
3,Criminal,Natti Natasha,15313,Uruguay
4,Se Preparó,Ozuna,12674,Uruguay
5,Mayores,Becky G,11846,Uruguay
6,Corazón,Maluma,11634,Uruguay
7,Suena El Dembow,Joey Montana,11577,Uruguay
8,Que Va,Alex Sensation,10920,Uruguay
9,Perro Fiel,Shakira,10721,Uruguay
10,She Don't Give a FO (feat. Khea),Duki,10295,Uruguay
1,Já ég veit,Birnir,6971,Iceland
2,rockstar,Post Malone,6853,Iceland
