Position,Track Name,Artist,Streams,ADMIN
4,2U (feat. Justin Bieber),David Guetta,28204,Belgium
5,More Than You Know,Axwell /\ Ingrosso,26407,Belgium
6,Krantenwijk,Lil' Kleine,26155,Belgium
7,Wild Thoughts,DJ Khaled,25035,Belgium
8,Despacito - Remix,Luis Fonsi,24956,Belgium
9,Where Did You Go (Summer Love),Regi,23141,Belgium
10,Shape of You,Ed Sheeran,23093,Belgium
1,Despacito - Remix,Luis Fonsi,42127,Malaysia
2,Attention,Charlie Puth,33476,Malaysia
3,2U (feat. Justin Bieber),David Guetta,31563,Malaysia
4,Feels,Calvin Harris,29996,Malaysia
5,Strip That Down,Liam Payne,28205,Malaysia
6,Back to You (feat. Bebe Rexha & Digital Farm Animals),Louis Tomlinson,27016,Malaysia
7,There for You,Martin Garrix,26309,Malaysia
8,I'm the One,DJ Khaled,26160,Malaysia
9,There's Nothing Holdin' Me Back,Shawn Mendes,23059,Malaysia
10,Shape of You,Ed Sheeran,23039,Malaysia
1,Rica,Gilli,76463,Denmark
2,Despacito - Remix,Luis Fonsi,76277,Denmark
3,Wild Thoughts,DJ Khaled,63930,Denmark
4,Mi Gente,J Balvin,63003,Denmark
5,Justin,Fie Laursen,62368,Denmark
6,Unforgettable,French Montana,61960,Denmark
7,Limbo,Scarlet Pleasure,60347,Denmark
8,Mama,Jonas Blue,58654,Denmark
9,2U (feat. Justin Bieber),David Guetta,57748,Denmark
10,Feels,Calvin Harris,56697,Denmark
1,Mi Gente,J Balvin,9346,Bolivia
2,Una Lady Como Tú,Manuel Turizo,7770,Bolivia
3,Me Rehúso,Danny Ocean,7322,Bolivia
4,Felices los 4,Maluma,6885,Bolivia
5,Escápate Conmigo,Wisin,6413,Bolivia
6,Hey DJ,CNCO,5514,Bolivia
7,Ahora Dice,Chris Jeday,5197,Bolivia
8,Báilame,Nacho,5151,Bolivia
9,Besándote,Piso 21,4830,Bolivia
10,Shape of You,Ed Sheeran,4777,Bolivia
1,Nostalgia,Taco Hemingway,80394,Poland
2,Tlen,Taco Hemingway,73152,Poland
3,Chod?,Taco Hemingway,72897,Poland
4,Dele,Taco Hemingway,64925,Poland
5,G?upi byt,Taco Hemingway,60063,Poland
6,I.S.W.T,Taco Hemingway,51284,Poland
7,Karimata (Mute),Taco Hemingway,47679,Poland
8,35,Taco Hemingway,47536,Poland
9,Saldo '07,Taco Hemingway,42992,Poland
10,2U (feat. Justin Bieber),David Guetta,35885,Poland
1,More Than You Know,Axwell /\ Ingrosso,21659,Austria
2,Thunder,Imagine Dragons,19393,Austria
3,OK,Robin Schulz,17414,Austria
4,Mama,Jonas Blue,17094,Austria
5,Mi Gente,J Balvin,16760,Austria
6,2U (feat. Justin Bieber),David Guetta,15367,Austria
7,Unforgettable,French Montana,14427,Austria
8,Strip That Down,Liam Payne,13086,Austria
9,There for You,Martin Garrix,13070,Austria
10,Wild Thoughts,DJ Khaled,13042,Austria
1,Wild Thoughts,DJ Khaled,26087,Portugal
2,Unforgettable,French Montana,25774,Portugal
3,Mi Gente,J Balvin,25556,Portugal
4,2U (feat. Justin Bieber),David Guetta,23040,Portugal
5,Attention,Charlie Puth,21127,Portugal
6,Felices los 4,Maluma,20737,Portugal
7,Mama,Jonas Blue,19705,Portugal
8,I'm the One,DJ Khaled,19493,Portugal
9,Feels,Calvin Harris,17846,Portugal
10,Shape of You,Ed Sheeran,17254,Portugal
1,Despacito - Remix,Luis Fonsi,203038,Sweden
2,Jag trodde änglarna fanns,Kamferdrops,191974,Sweden
3,More Than You Know,Axwell /\ Ingrosso,174265,Sweden
4,Mi Gente,J Balvin,171460,Sweden
5,Helt seriöst,Kaliffa,169085,Sweden
6,Unforgettable,French Montana,156223,Sweden
7,2U (feat. Justin Bieber),David Guetta,152097,Sweden
8,Wild Thoughts,DJ Khaled,143295,Sweden
9,Mama,Jonas Blue,143175,Sweden
10,Summer Air,ItaloBrothers,133153,Sweden
1,Mi Gente,J Balvin,531112,Mexico
2,Una Lady Como Tú,Manuel Turizo,502258,Mexico
3,Me Rehúso,Danny Ocean,435976,Mexico
4,Felices los 4,Maluma,415972,Mexico
5,Escápate Conmigo,Wisin,343863,Mexico
6,Bonita,J Balvin,338827,Mexico
7,Ahora Dice,Chris Jeday,314597,Mexico
8,Hey DJ,CNCO,270611,Mexico
9,Tu Foto,Ozuna,231628,Mexico
10,La Rompe Corazones,Daddy Yankee,227439,Mexico
1,Mi Gente,J Balvin,11225,Panama
2,Escápate Conmigo,Wisin,7602,Panama
3,Me Rehúso,Danny Ocean,7509,Panama
4,Ahora Dice,Chris Jeday,6905,Panama
5,Felices los 4,Maluma,6454,Panama
6,Tu Foto,Ozuna,6291,Panama
7,El Farsante,Ozuna,6289,Panama
8,Una Lady Como Tú,Manuel Turizo,6268,Panama
9,Báilame,Nacho,5630,Panama
10,Hey DJ,CNCO,4766,Panama
1,Mi Gente,J Balvin,13538,Uruguay
2,Me Rehúso,Danny Ocean,11113,Uruguay
3,Felices los 4,Maluma,9993,Uruguay
4,Bonita,J Balvin,9122,Uruguay
5,Ahora Dice,Chris Jeday,8880,Uruguay
6,Escápate Conmigo,Wisin,8744,Uruguay
7,Hey DJ,CNCO,8219,Uruguay
8,Báilame,Nacho,7297,Uruguay
9,Tu Foto,Ozuna,7098,Uruguay
10,Shape of You,Ed Sheeran,6818,Uruguay
1,Ég Vil Það,Chase,9332,Iceland
2,Geri Ekki Neitt (feat. Unnsteinn),Aron Can,8007,Iceland
3,Despacito - Remix,Luis Fonsi,6255,Iceland
4,Óþekk,Aron Can,5806,Iceland
5,Wild Thoughts,DJ Khaled,5360,Iceland
6,Joey Cypher,Joey Christ,5336,Iceland
7,Unforgettable,French Montana,5205,Iceland
8,Feels,Calvin Harris,4818,Iceland
9,I Know,Sturla Atlas,4528,Iceland
10,2U (feat. Justin Bieber),David Guetta,4294,Iceland
1,Mi Gente,J Balvin,332573,Spain
2,Me Rehúso,Danny Ocean,253509,Spain
3,Una Lady Como Tú,Manuel Turizo,238026,Spain
4,Felices los 4,Maluma,237111,Spain
5,Mala Mujer,C. Tangana,219232,Spain
6,Hey DJ,CNCO,182997,Spain
7,Bonita,J Balvin,167645,Spain
8,Escápate Conmigo,Wisin,156342,Spain
9,Ahora Dice,Chris Jeday,155314,Spain
10,La isla del Amor (feat. Maki),Demarco Flamenco,153824,Spain
1,Thunder,Imagine Dragons,13633,Czech Republic
2,More Than You Know,Axwell /\ Ingrosso,11812,Czech Republic
3,Mama,Jonas Blue,10511,Czech Republic
4,Mi Gente,J Balvin,9812,Czech Republic
5,2U (feat. Justin Bieber),David Guetta,9696,Czech Republic
6,Believer,Imagine Dragons,9124,Czech Republic
7,Despacito - Remix,Luis Fonsi,9055,Czech Republic
8,There for You,Martin Garrix,8579,Czech Republic
9,There's Nothing Holdin' Me Back,Shawn Mendes,8547,Czech Republic
10,Shape of You,Ed Sheeran,8444,Czech Republic
1,Unforgettable,French Montana,38863,Ireland
2,Despacito - Remix,Luis Fonsi,38537,Ireland
3,New Rules,Dua Lipa,36918,Ireland
4,Feels,Calvin Harris,35428,Ireland
5,Wild Thoughts,DJ Khaled,34533,Ireland
6,Mama,Jonas Blue,31041,Ireland
7,Strip That Down,Liam Payne,26527,Ireland
8,Pretty Girl - Cheat Codes X CADE Remix,Maggie Lindemann,25987,Ireland
9,2U (feat. Justin Bieber),David Guetta,25321,Ireland
10,I'm the One,DJ Khaled,25081,Ireland
1,Mi Gente,J Balvin,196364,Netherlands
2,Krantenwijk,Lil' Kleine,196301,Netherlands
3,Lovely Body,SFB,179045,Netherlands
4,Loterij,Lil' Kleine,176045,Netherlands
5,Mama,Jonas Blue,162890,Netherlands
6,Cartier,Dopebwoy,157263,Netherlands
7,Wild Thoughts,DJ Khaled,153224,Netherlands
8,2U (feat. Justin Bieber),David Guetta,146278,Netherlands
9,Pull Up Game Strong,SBMG,132996,Netherlands
10,Unforgettable,French Montana,132269,Netherlands
1,Thunder,Imagine Dragons,4173,Slovakia
2,Mama,Jonas Blue,4033,Slovakia
3,More Than You Know,Axwell /\ Ingrosso,4005,Slovakia
