Position,Track,Artist,Streams,ADMIN
4,Bad and Boujee (feat. Lil Uzi Vert),Migos,100524,Canada
5,One Dance,Drake,90257,Canada
6,Black Beatles,Rae Sremmurd,90233,Canada
7,Let Me Love You,DJ Snake,89982,Canada
8,I Feel It Coming,The Weeknd,83442,Canada
9,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,78503,Canada
10,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,76004,Canada
1,Chantaje,Shakira,39602,Peru
2,Reggaetón Lento (Bailemos),CNCO,36580,Peru
3,Safari,J Balvin,34236,Peru
4,Otra Vez (feat. J Balvin),Zion & Lennox,30781,Peru
5,La Bicicleta,Carlos Vives,29298,Peru
6,Vente Pa' Ca,Ricky Martin,29033,Peru
7,Shaky Shaky,Daddy Yankee,28998,Peru
8,Let Me Love You,DJ Snake,23698,Peru
9,Ay Mi Dios,IAmChino,23292,Peru
10,Andas En Mi Cabeza,Chino & Nacho,22540,Peru
1,Hey Baby,Dimitri Vegas & Like Mike,23277,Belgium
2,Closer,The Chainsmokers,17456,Belgium
3,Starboy,The Weeknd,17374,Belgium
4,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,16763,Belgium
5,What Is Love 2016,Lost Frequencies,16197,Belgium
6,Let Me Love You,DJ Snake,15810,Belgium
7,Until the End,Henri PFR,13510,Belgium
8,One Dance,Drake,12964,Belgium
9,24K Magic,Bruno Mars,12661,Belgium
10,Call On Me - Ryan Riback Extended Remix,Starley,12506,Belgium
1,Closer,The Chainsmokers,27062,Malaysia
2,Say You Won't Let Go,James Arthur,26577,Malaysia
3,Starboy,The Weeknd,24878,Malaysia
4,Let Me Love You,DJ Snake,22310,Malaysia
5,Bad Things (with Camila Cabello),Machine Gun Kelly,20668,Malaysia
6,Don't Wanna Know,Maroon 5,20212,Malaysia
7,All We Know,The Chainsmokers,20169,Malaysia
8,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,20145,Malaysia
9,Starving,Hailee Steinfeld,16350,Malaysia
